Arranged number,Number,Book,Brand,Shade Name,Description,Finish,Stamping Polish,Topper/Effect,Notes
30,133,1,Formula X by Sephora,Quantum,Khaki Green,,,,
3,134,1,Formula X by Sephora,X heart Rouge,True Red,,,,
101,135,1,Formula X by Sephora,Ballet Barre,Gunmetal Holo,,,,
181,136,2,Formula X by Sephora,Turbulent,Black & Blue Speckled,Speckled,,Topper,
182,137,2,Formula X by Sephora,Frenzy,Pink Speckled,Speckled,,Topper,
138,138,2,Formula X by Sephora,Freaky Like Freud,Rainbow Glitter,Glitter ,,,
132,139,2,Formula X by Sephora,Moonwalk,White Holo Glitter,,,,
50,140,1,Formula X by Sephora,Free Spirit,Baby Blue,,,,
135,141,2,Formula X by Sephora,Thrilling,Stone Taupe,,,,
114,142,1,Formula X by Sephora,Gray Matter,Dark Grey,,,,
136,143,2,Formula X by Sephora,Monumental ,Tan,,,,
81,144,1,Formula X by Sephora,Alive,Pastel Pink,,,,
110,145,1,Nails Inc. ,Trafalgar Square,Grey Silver Magnetic,Magnetic,,Magnetic,
111,146,1,Formula X by Sephora,Deep End,Navy Blue with Silver Holo,Holo,,,
118,147,1,Formula X by Sephora,Naughty Newton,Black with Rainbow Glitter,Glitter ,,,
164,148,2,Alchemy Lacquers,Kyber Crystal,Pale pastel teal with iridescent Flakies,Flakies,,,January 21 Overpour
151,149,2,Cirque Colors,Hatch,"White with Black, Gray Speckles",Speckled,,,Bought on LacqueristaSwap
158,150,2,Cirque Colors,High Line,Lavender Crème ,Crème,,,Bought on LacqueristaSwap
220,151,2,Beyond the Nail,Lunenburg,Fine Rainbow Glitter - appears red based,Glitter Bomb,,,February 21 PPU
169,152,2,Great Lake Lacquers,The Mighty Mac,Blue Green jelly with Blue Green Iridescent Flakies,Jelly & Glitter,,,February 21 PPU
161,153,2,Alchemy Lacquers,Dreamland Sunset,Lavender with iridescent Flakies,Jelly,,,February 21 PPU
152,154,2,Painted Polish,Ice Ice Cave-y,White Crelly with  blue & tan glitters,Crelly,,,February 21 PPU
156,155,2,Phoenix (EDK),Mahalo!,Purple Orange Multichrome magnetic with Flakies,Magnetic,,Magnetic,February 21 PPU
148,156,2,Holo Taco,Sonic Unicorn Skin,Blue Flakie Unicorn Skin Topper,Flakie Topper,,Topper ,Unicorn Dreams Collection
149,157,2,Holo Taco,Galactic Unicorn Skin,Green Flakie Unicorn Skin Topper,Flakie Topper,,Topper ,Unicorn Dreams Collection
150,158,2,Holo Taco,Lunar Unicorn Skin,Yellow Gold Unicorn Skin Topper,Flakie Topper,,Topper ,Unicorn Dreams Collection
159,159,2,Holo Taco,Cyantific,Baby Blue Pastel ,Crème,,,Unicorn Dreams Collection
160,160,2,Holo Taco,What Do You Pink?,Millennial Pink pastel,Crème,,,Unicorn Dreams Collection
165,161,2,Alchemy Lacquers,Fairy Wings,Baby Pastel Pink with Iridescent Flakies,Jelly,,,
162,162,2,Alchemy Lacquers,Mélange,Pale Gray with Iridescent Flakies,Jelly,,,
145,163,2,Holo Taco,Aurora Unicorn Skin,Purple-Blue Shift to Pink Iridescent Flakies,Flakie Topper,,Topper,Unicorn Skin
146,164,2,Holo Taco,Cosmic Unicorn Skin,Pink-Purple Shift to Yellow-Green Iridescent Flakies,Flakie Topper,,Topper,Unicorn Skin
177,165,2,Holo Taco,Royal Tea Blue,Royal Blue Creme,Crème,,,For Art’s Sake Release
178,166,2,Holo Taco,Green Screen,Shamrock Green Creme ,Crème,,,For Art’s Sake Release
179,167,2,Holo Taco,Banana Hacks,Bright True Yellow Creme,Crème,,,For Art’s Sake Release
180,168,2,Holo Taco,Duct Tape Grey,Neutral Grey Creme,Crème,,,For Art’s Sake Release
170,169,2,Ard as Nails,Spring Paradise,Green with Green Iridescent Flakies,Jelly,,,March 21 PPU
206,170,2,Phoenix (EDK),Occamy,Purple with Blue & Teal Shift & Scaley Flakies,Multichrome,,,March 21 PPU
203,171,2,Night Owl Lacquer,All Aflutter,Black with Burgundy Shift & Blue Iridescent Flakies,Multichrome,,,March 21 PPU
167,172,2,KBShimmer,With the Band,Blue with Green Iridescent Flakies,Jelly,,,March 21 PPU
168,173,2,DRK Colors,Crejoá,Purple Jelly with Rainbow Iridescent Flakies,Jelly,,,March 21 PPU
163,174,2,Alchemy Lacquers,Metamorphosis,Mint Green with Green Iridescent Flakies,Jelly,,,March 21 PPU
201,175,2,Sweet and Sour Lacquers,Lost in Five,Pink Jelly with Multi-colored Chunky Glitter & Glitter Shapes,Jelly & Glitter,,,April 21 PPU
207,176,2,Sassy Sauce,I Love You,Purple (Cold) to Pink (Warm) Thermal with Flakies,Thermal,,Thermal,April 21 PPU
153,177,2,Different Dimensions,Talk to the Hand,White Crelly with Multi-colored Glitter (Glow in the Dark; Black Light Reactive),Crelly,,Glow in the Dark,April 21 PPU
166,178,2,Whatcha,Heart of the Ocean,Navy Blue Jelly with Blue Flakies,Jelly & Glitter,,,April 21 PPU
219,179,2,Beyond the Nail,Butterfly Clips,Fine Purple & Chunky Purple Glitter ,Glitter Bomb,,,April 21 PPU
157,180,2,Phoenix (EDK),Sharp Fangs,Olive Khaki Green & Black Magnetic with Flakies,Magnetic,,Magnetic,April 21 PPU
191,181,2,Holo Taco,Lavender Syrup,Cool Purple Holo,Holo,,,Pastel Rainbow Collection
192,182,2,Holo Taco,Sparkling Water,Cool Blue Holo,Holo,,,Pastel Rainbow Collection
193,183,2,Holo Taco,Mint Mojito,Mint Green Holo,Holo,,,Pastel Rainbow Collection
194,184,2,Holo Taco,Lemon Spritzer,Cool Yellow Holo,Holo,,,Pastel Rainbow Collection
195,185,2,Holo Taco,Peach Tea,Cool Orange Peach Holo,Holo,,,Pastel Rainbow Collection
196,186,2,Holo Taco,Coral Chaser,Pink Red Holo,Holo,,,Pastel Rainbow Collection
197,187,2,Holo Taco,Pink Fizz,Pinky Purple Holo,Holo,,,Pastel Rainbow Collection
174,188,2,Maniology,Orange Burst,Burnt Orange (Pumpkin),Crème,Yes,,Mystery Pack
175,189,2,Maniology,Down the Chimney,Gray with Brown Undertone,Crème,Yes,,Mystery Pack
176,190,2,Maniology,Morning Snow,Jade Teal,Crème,yes,,Mystery Pack
205,191,2,Black Dahlia Lacquer,Flotsam & Jetsam,Light Blue Teal with Blue Glitter,Glitter,,,October 20 PPU (Mystery Pack)
202,192,2,Vanessa Molina,Zombie on Fire,"Purple, Gold, Olive Multichrome",Multichrome,,,June 20 PPU (Mystery Pack)
204,193,2,Night Owl Lacquer,Hot Pants Rain Dance,Blue Gray with Opal Iridescent Glitter,Jelly,,,October 20 PPU (Mystery Pack)
210,194,2,Fancy Gloss,Black Confetti,Black with Rainbow Flakies (Cold) to Clear (Warm),Thermal,,Thermal ,
209,195,2,Fancy Gloss,Black Ocean 2.0,Navy Blue Base with Red Flakies (Cold) to Blue (Warm),Thermal,,Thermal ,
208,196,2,Fancy Gloss,Mixed Berries,Deep Maroon to Lighter Shades of Red (tri-thermal),Thermal,,Thermal ,
211,197,2,Necessary Evil/Paradox Polish,Protection Spell,Bright True Blue with Red Multi-sized glitter,Crelly,,,September 19 PPU; July 20 Rewind (Mystery Pack)
171,198,2,Alchemy Lacquers,Blood Moon,Black base with Red & Purple Flakies,Jelly,,,September 20 PPU (Mystery Pack)
183,199,2,Sweet and Sour Lacquers,Neonidas,Neon Chunky Glitter Topper,Glitter Bomb,,Topper,
172,200,2,Sweet and Sour Lacquers,Prototype 010,Black/Maroon Multichrome with Blue-Green Flakies,Multichrome,,,
173,201,2,Sweet and Sour Lacquers,"All Panic, No Disco",Green-tinged Silver with Iridescent Flakies,Jelly,,,December 20 PPU Overpour
218,202,2,Beyond the Nail,Paparazzi Flash,Blue Jean Glitter Bomb,Glitter Bomb,,,May 21 PPU
212,203,2,Pretty Beautiful Unlimited,It's Too Pretty to Eat,Black base with Rainbow Glitter Flakies & Shapes,Jelly & Glitter,,,May 21 PPU
154,204,2,Dam! Nail Polish,Lactose Intoler…whaat?,Pink-tinged White base with Pastel Glitter & Shapes,Crelly,,,May 21 PPU
186,205,2,Holo Taco,Full Charge,Lime Linear Holo,Holo,,,Electric Holos Collection
187,206,2,Holo Taco,Circuit Breaker,Silver Linear Holo,Holo,,,Electric Holos Collection
188,207,2,Holo Taco,Hydropower,Neon Baby Blue Linear Holo,Holo,,,Electric Holos Collection
189,208,2,Holo Taco,Electrostatic,Black Linear Holo,Holo,,,Electric Holos Collection
190,209,2,Holo Taco,Hot-wire Pink,Neon Magenta Linear Holo,Holo,,,Electric Holos Collection
155,210,2,Penelope Luz,Soap Bubble,Black Based Green-Purple Multichrome Magnetic,Magnetic,,Magnetic,June 21 PPU
213,211,2,Garden Path Lacquers,Mercury in Spectrograde,Purple-Grey Based Multichrome Rainbow Flakies,Flakies,,,June 21 PPU
217,212,2,Beyond the Nail,Rainbow Rare,Gold Micro-glitter Bomb,Glitter Bomb,,,June 21 PPU
198,213,2,Holo Taco,The Floor is Guava,Guava Pink Crème,Crème,,,Life's a Beach Release
199,214,2,Holo Taco,Sea Foam Home,Sea Foam Green Crème,Crème,,,Life's a Beach Release
200,215,2,Holo Taco,One Melon Followers,Melon Peachy-Pink Crème,Crème,,,Life's a Beach Release
214,216,2,KBShimmer,Fruit Slices Yummy Yummy,Melon Peachy-Pink Golden Iridescent Flakies,Flakies,,,July 21 PPU Rewind
226,217,2,Sweet and Sour Lacquers,Summer Days,Soft Yellow with Subtle Yellow Holo,Holo,,,July 21 Monthly Duo
223,218,2,Swamp Gloss,Whoa!,Turquoise to White Thermal with Pink & Blue Matte Glitter & Gold Flakies,Thermal,,Thermal ,April 21 PPU
225,219,2,Night Owl Lacquer,Just a Girl,"Grey/White Crelly with Pink, Yellow & Purple Glitters & Black Shards",Glitter,,,April 21 PPU
221,220,2,The Lady Varnishes,"She Lavas Me, She Lavas Me Not",Navy Blue to Red Multichrome with Copper Metallic Flakies,Multichrome,,,July 21 PPU Rewind
216,221,2,Stella Chroma,Do This Again. Old Fashioned,"Copper, Gold, Pink Shifting Glitter Bomb",Glitter ,,,July 21 PPU Rewind
222,222,2,Dreamland,The King & The Queen,Barely there Robins Egg Blue White with Gold and Rainbow Flakies,Crelly,,,July 21 PPU Rewind
215,223,2,KBShimmer,He Slimed Me!,Neon Green Jelly with Green Iridescent Flakies,Jelly,,,July 21 PPU Rewind
224,224,2,Bluebird Lacquer,The Ryan King,Forest Green with Green Linear Holo,Holo,,,July 21 PPU Rewind
227,225,2,Holo Taco,Way Back Chrome,"Purple, Blue, Teal Multichrome",Multichrome,,,2nd Anniversary Remix Collection
184,226,2,Holo Taco,Everything Taco,"Iridescent Flakies & holographic linear, scattered and Flakies",Flakies,,Topper,2nd Anniversary Remix Collection
228,227,2,Holo Taco,Glitteraly Purple,Pinky Purple Glitter Bomb,Glitter,,,2nd Anniversary Remix Collection
229,228,2,Holo Taco,Rainbow Flood,Deep Eggplant Purple Holo,Holo,,,2nd Anniversary Remix Collection
230,229,2,Holo Taco,Heavy Metal Mixed Tape,Silver Metallic Foil Polish with Gunmetal Base,Foil,,,2nd Anniversary Remix Collection
231,230,2,Bees Knees Lacquers,The Dark One,Purple Holographic Glitter Bomb,Glitter Bomb,,,From Blood and Ash Collection
232,231,2,Bees Knees Lacquers,The Maiden,Red and Silver Holographic Glitter Bomb,Glitter Bomb,,,From Blood and Ash Collection
233,232,2,Bees Knees Lacquers,Princess,Pink and Silver Holographic Glitter Bomb,Glitter Bomb,,,From Blood and Ash Collection
234,233,2,Bees Knees Lacquers,Forever and Always,Gold and Silver Glitter Bomb,Glitter Bomb,,,From Blood and Ash Collection (Mystery)
235,234,2,Bees Knees Lacquers,Ceeren,Silvery Blue Linear Holographic,Holo,,,From Blood and Ash Collection (Mystery)
,Destash,2,Bees Knees Lacquers,You Are My Home (Sold),Royal Blue with Blue Matte Glitter ,Sheer,,,From Blood and Ash Collection
237,236,2,Bees Knees Lacquers,We Shall Rise,Blue Iridescent Topper,Sheer,,Topper,From Blood and Ash Collection
238,237,2,Bees Knees Lacquers,From Blood and Ash,Golden Yellow Iridescent Topper,Sheer,,Topper,From Blood and Ash Collection
239,238,2,Bees Knees Lacquers,Heartmates,Magenta with Magenta Matte Glitter Golden Green Multichrome,Sheer,,,From Blood and Ash Collection
240,239,2,Bees Knees Lacquers,Murderous Little Creature,Green/Teal with Green/Teal Matter Glitter Blue Multichrome,Sheer,,,From Blood and Ash Collection
241,240,3,Pampered Polishes,The Belchers,Deep Green Jelly with White Chunky Glitter,Jelly & Glitter,,,Hella Handmade Creations July '21
242,241,3,Bees Knees Lacquers,Meteorite,Silver with Silver Glitter Green Multichrome,Multichrome,,,Hella Handmade Creations July '21
243,242,3,DRK Colors,Diego,Silver Magnetic Topper with Copper Flakies,Magnetic,,Magnetic Topper,Hella Handmade Creations July '21
244,243,3,Whatcha,Phenomena in the Air,White with Rainbow Iridescent Flakies,Crelly,,,August 21 PPU
245,244,3,Polish Molish,Evergreen,Dark Green with Multi-Sized Emerald Glitters,Jelly & Glitter,,,August (June) 21 PPU
246,245,3,Twisting Nether Lacquers,Rain,"Blue & Silver Multi-Shape, Multi-Size Glitter Bomb",Glitter,,Topper,August 21 PPU
247,246,3,Cadillacquer,Sky on Fire,Magenta Crelly with Red Matte Glitter,Crelly,,,August 21 PPU
248,247,3,Cuticula,Dragon Glass,"Navy Blue Jelly with Red, Blue, Green Glass Flakies",Jelly,,,August 21 PPU
249,248,3,Dany Vianna,Starry Sky,"Blue Jelly with Blue & Yellow Glitters Shapes, Stars & Moons",Jelly & Glitter,,,August 21 PPU
251,249,3,Holo Taco,Bring Me the Teal,Deep Teal Crème,Crème,,,Tea Crémes Collection
252,250,3,Holo Taco,Butterscotch Hop,Bright Butterscotch Crème,Crème,,,Tea Crémes Collection
253,251,3,Holo Taco,Matcha Maker,Sage Green Crème,Crème,,,Tea Crémes Collection
185,252,2,Holo Taco,Gold Flake Taco,Warm-toned metallic gold asymmetrical foil flakes in a clear base,Glitter,,Topper,Tea Crémes Collection
254,253,3,Holo Taco,I'm Over Brew,Deep Burgundy Crème,Crème,,,Tea Crémes Collection
255,254,3,Holo Taco,High Team Hibiscus,Deep Magenta Crème,Crème,,,Tea Crémes Collection
256,255,3,Holo Taco,See Y'all Later Chai,Warm Chai Crème,Crème,,,Tea Crémes Collection
263,256,3,Sweet and Sour Lacquers,Spook Squad,"Royal Purple Jelly with ghost, star, and multicolored diamond glitters",Jelly & Glitter,,,September 21 PPU
250,257,3,Rogue Lacquers,Tricks and Spoopy Treats,"White Crelly with Purple, Green, and Golden Yellow Glitter",Crelly,,,September 21 PPU
262,258,3,Nail Artisan Cosmetics,"Dead, Dead, Deadski",Gunmetal grey silver black magnetic with rainbow iridescent Flakies,Magnetic,,Magnetic,September 21 PPU
261,259,3,Phoenix (EDK),"Are You Gonna Treat, or Not?",Blue Jelly with Large Rainbow Iridescent Flakies,Jelly,,,September 21 PPU
268,260,3,Sweet and Sour Lacquers,Prototype 015,Gunmetal Holo with a red/pink shift,Holo,,,
267,261,3,Sweet and Sour Lacquers,Struck on You,"Glitter bomb with pastel pink, yellow, blue lightning bolts",Glitter Bomb,,,February 21 Duo
266,262,3,Sweet and Sour Lacquers,Princess Punk,Glitter bomb with multi-size pink and black glitter and pink skulls,Glitter Bomb,,,October 21 Duo
265,263,3,Sweet and Sour Lacquers,April Showers,Glitter bomb with blue shards and pink umbrellas,Glitter Bomb,,,April 21 Duo
264,264,3,Sweet and Sour Lacquers,Bone to be Wild,"Glitter bomb with chunky glitter (black), stars, and white skulls",Glitter Bomb,,,October 21 Duo
272,265,3,Swamp Gloss,Nooope,Purple (Cold) to Blue (Warm) Thermal with Purple Flakies,Thermal,,Thermal ,Hella Handmade Creations September '21
270,266,3,Zombie Claw,Warrior Kalona,Grey with Iridescent Flakies,Flakies,,,Hella Handmade Creations September '21
273,267,3,Bees Knees Lacquers,You Mom,Grey with Purple Holo Shift,Multichrome,,,Hella Handmade Creations September '21
274,268,3,My Indie Polish,Phoenix,"Gunmetal Grey, Green, Red Multichrome",Multichrome,,,Polished Gamers Box September '21
